Age Range,Males,Females,WHO World Standard,Counts for Males,Counts for Females
0 to 04,20.4,18.3,8.86,0.181,0.162
05 to 09,12.6,10,8.69,0.109,0.087
10 to 14,12.6,11.7,8.6,0.108,0.101
15 to 19,20.7,20.6,8.47,0.175,0.174
20 to 24,31.2,35.5,8.22,0.256,0.292
25 to 29,49,75.7,7.93,0.389,0.6
30 to 34,64,109.4,7.61,0.487,0.833
35 to 39,83,161.9,7.15,0.593,1.158
40 to 44,123.4,257,6.59,0.813,1.694
45 to 49,209.6,412.7,6.04,1.266,2.493
50 to 54,373.2,574.8,5.37,2.004,3.087
55 to 59,698,731.8,4.55,3.176,3.33
60 to 64,1178.2,994.3,3.72,4.383,3.699
65 to 69,1743.4,1283,2.96,5.16,3.798
70 to 74,2363.7,1530.1,2.21,5.224,3.382
75 to 79,2904.9,1832.9,1.52,4.415,2.786
80 to 84,3260.9,2100,0.91,2.967,1.911
85 to 89,3643.2,2260.7,0.63,2.295,1.424
90+,3654.6,2114.1,0.63,2.302,1.332
,,,Total Count,36.303,32.343
