Age Range,Males,Females,WHO World Standard,Counts for Males,Counts for Females
0 to 04,20.4,18.3,8.86,0.00181,0.00162
05 to 09,12.6,10,8.69,0.00109,0.00087
10 to 14,12.6,11.7,8.6,0.00108,0.00101
15 to 19,20.7,20.6,8.47,0.00175,0.00174
20 to 24,31.2,35.5,8.22,0.00256,0.00292
25 to 29,49,75.7,7.93,0.00389,0.006
30 to 34,64,109.4,7.61,0.00487,0.00833
35 to 39,83,161.9,7.15,0.00593,0.01158
40 to 44,123.4,257,6.59,0.00813,0.01694
45 to 49,209.6,412.7,6.04,0.01266,0.02493
50 to 54,373.2,574.8,5.37,0.02004,0.03087
55 to 59,698,731.8,4.55,0.03176,0.0333
60 to 64,1178.2,994.3,3.72,0.04383,0.03699
65 to 69,1743.4,1283,2.96,0.0516,0.03798
70 to 74,2363.7,1530.1,2.21,0.05224,0.03382
75 to 79,2904.9,1832.9,1.52,0.04415,0.02786
80 to 84,3260.9,2100,0.91,0.02967,0.01911
85 to 89,3643.2,2260.7,0.63,0.02295,0.01424
90+,3654.6,2114.1,0.63,0.02302,0.01332
,,,Total Count,0.36303,0.32343
,,,SIR,1.122437622,
